Species Weight L1 L2 L3 Height Width L21 L32 L31
bream  242.0 23.2 25.4 30.0 38.4 13.4 2.2 4.6 6.8
bream  290.0 24.0 26.3 31.2 40.0 13.8 2.3 4.9 7.2
bream  363.0 26.3 29.0 33.5 38.0 13.3 2.7 4.5 7.2
bream  430.0 26.5 29.0 34.0 36.6 15.1 2.5 5.0 7.5
bream  500.0 26.8 29.7 34.5 41.1 15.3 2.9 4.8 7.7
bream  390.0 27.6 30.0 35.0 36.2 13.4 2.4 5.0 7.4
bream  450.0 27.6 30.0 35.1 39.9 13.8 2.4 5.1 7.5
bream  500.0 28.5 30.7 36.2 39.3 13.7 2.2 5.5 7.7
bream  475.0 28.4 31.0 36.2 39.4 14.1 2.6 5.2 7.8
bream  500.0 28.7 31.0 36.2 39.7 13.3 2.3 5.2 7.5
bream  500.0 29.1 31.5 36.4 37.8 12.0 2.4 4.9 7.3
bream  500.0 29.5 32.0 37.3 37.3 13.6 2.5 5.3 7.8
bream  600.0 29.4 32.0 37.2 40.2 13.9 2.6 5.2 7.8
bream  600.0 29.4 32.0 37.2 41.5 15.0 2.6 5.2 7.8
bream  700.0 30.4 33.0 38.3 38.8 13.8 2.6 5.3 7.9
bream  700.0 30.4 33.0 38.5 38.8 13.5 2.6 5.5 8.1
bream  610.0 30.9 33.5 38.6 40.5 13.3 2.6 5.1 7.7
bream  650.0 31.0 33.5 38.7 37.4 14.8 2.5 5.2 7.7
bream  575.0 31.3 34.0 39.5 38.3 14.1 2.7 5.5 8.2
bream  685.0 31.4 34.0 39.2 40.8 13.7 2.6 5.2 7.8
bream  620.0 31.5 34.5 39.7 39.1 13.3 3.0 5.2 8.2
bream  680.0 31.8 35.0 40.6 38.1 15.1 3.2 5.6 8.8
bream  700.0 31.9 35.0 40.5 40.1 13.8 3.1 5.5 8.6
bream  725.0 31.8 35.0 40.9 40.0 14.8 3.2 5.9 9.1
bream  720.0 32.0 35.0 40.6 40.3 15.0 3.0 5.6 8.6
bream  714.0 32.7 36.0 41.5 39.8 14.1 3.3 5.5 8.8
bream  850.0 32.8 36.0 41.6 40.6 14.9 3.2 5.6 8.8
bream 1000.0 33.5 37.0 42.6 44.5 15.5 3.5 5.6 9.1
bream  920.0 35.0 38.5 44.1 40.9 14.3 3.5 5.6 9.1
bream  955.0 35.0 38.5 44.0 41.1 14.3 3.5 5.5 9.0
bream  925.0 36.2 39.5 45.3 41.4 14.9 3.3 5.8 9.1
bream  975.0 37.4 41.0 45.9 40.6 14.7 3.6 4.9 8.5
bream  950.0 38.0 41.0 46.5 37.9 13.7 3.0 5.5 8.5
roach   40.0 12.9 14.1 16.2 25.6 14.0 1.2 2.1 3.3
roach   69.0 16.5 18.2 20.3 26.1 13.9 1.7 2.1 3.8
roach   78.0 17.5 18.8 21.2 26.3 13.7 1.3 2.4 3.7
roach   87.0 18.2 19.8 22.2 25.3 14.3 1.6 2.4 4.0
roach  120.0 18.6 20.0 22.2 28.0 16.1 1.4 2.2 3.6
roach  118.0 19.0 20.5 22.8 28.4 14.7 1.5 2.3 3.8
roach  110.0 19.1 20.8 23.1 26.7 14.7 1.7 2.3 4.0
roach  120.0 19.4 21.0 23.7 25.8 13.9 1.6 2.7 4.3
roach  160.0 20.5 22.5 25.3 27.8 15.1 2.0 2.8 4.8
roach  140.0 21.0 22.5 25.0 26.2 13.3 1.5 2.5 4.0
roach  160.0 21.1 22.5 25.0 25.6 15.2 1.4 2.5 3.9
roach  169.0 22.0 24.0 27.2 27.7 14.1 2.0 3.2 5.2
roach  161.0 22.0 23.4 26.7 25.9 13.6 1.4 3.3 4.7
roach  200.0 22.1 23.5 26.8 27.6 15.4 1.4 3.3 4.7
