        PT CO SO2 PSI Temp Man Pop Rain
Phoenix 62.4 3.6 10 1 70.3 213 582 7
Little_Rock 38.8 2.5 13 0 61 91 132 48.52
San_Francisco 28.8 1.6 12 0 56.7 453 716 20.66
Denver 112.8 4.6 17 2 51.9 454 515 12.95
Hartford 57 6.7 56 1 49.1 412 158 43.37
Wilmington 89.9 5.9 36 1 54 80 80 40.25
Washington 62.5 4.4 29 1 57.3 434 757 38.89
Jacksonville 65.8 2.4 14 1 68.4 136 529 54.47
Miami 27.5 2.1 10 0 75.5 207 335 59.8
Atlanta 30.9 5 24 0 61.5 368 497 48.34
Chicago 116 12.6 110 2 50.6 3344 3369 34.44
Indianapolis 44.8 4.8 28 0 52.3 361 746 38.74
Des_Moines 33 3.9 17 0 49 104 201 30.85
Wichita 90.2 1.1 8 1 56.6 125 277 30.58
Louisville 47.2 5.4 30 0 55.6 291 593 43.11
New_Orleans 34.9 3.8 9 0 68.3 204 361 56.77
Baltimore 52.3 9.1 47 1 55 625 905 41.31
Detroit 64.4 5.4 35 1 49.9 1064 1513 30.96
Minn_St_Paul 48.2 8.4 29 0 43.5 699 744 25.94
Kansas_City 14.5 3.1 14 0 54.5 381 507 37
St_Louis 62.1 8.8 56 1 55.9 775 622 35.89
Omaha 59.6 4.6 14 1 51.5 181 347 30.18
Albuquerque 20.8 1.5 11 0 56.8 46 244 7.77
Albany 47.9 7.3 46 0 47.6 44 116 33.36
Buffalo 30.5 3 11 0 47.1 391 463 36.11
Cincinnati 53.5 4.2 23 1 54 462 453 39.04
Cleveland 67.1 8.1 65 1 49.7 1007 751 34.99
Columbus 51.8 6.9 26 1 51.5 266 540 37.01
Philadelphia 115.3 7.7 69 2 54.6 1692 1950 39.93
Pittsburgh 74 10.4 61 1 50.4 347 520 36.22
Providence 121.5 7.8 94 2 50 343 179 42.75
Memphis 20.1 4.2 10 0 61.6 337 624 49.1
Nashville 32.4 5.5 18 0 59.4 275 448 46
Dallas 48.5 2.5 9 0 66.2 641 844 35.94
Houston 21.1 2.2 10 0 68.9 721 1233 48.19
Salt_Lake_City 37.3 6.2 28 0 51 137 176 15.17
Norfolk 40.5 8 31 0 59.3 96 308 44.68
Richmond 33.4 8.1 26 0 57.8 197 299 42.59
Seattle 34.5 7.2 29 0 51.1 379 531 38.79
Charleston 47.8 6.5 31 0 55.2 35 71 40.75
Milwaukee 43.4 3.5 16 0 45.7 569 717 29.07
