Education South Gender Experience Union Wage Age Race Occupation Sector Mstat
ED2 S0 G1 EX2 U0 5.1 A2 R2 O6 SE1 M1
ED2 S0 G1 EX3 U0 4.95 A3 R3 O6 SE1 M1
ED3 S0 G0 EX1 U0 6.67 A1 R3 O6 SE1 M0
ED3 S0 G0 EX1 U0 4 A1 R3 O6 SE0 M0
ED3 S0 G0 EX1 U0 7.5 A2 R3 O6 SE0 M1
ED3 S0 G0 EX1 U1 13.07 A1 R3 O6 SE0 M0
ED2 S1 G0 EX2 U0 4.45 A2 R3 O6 SE0 M0
ED3 S0 G0 EX1 U0 19.47 A1 R3 O6 SE0 M0
ED4 S0 G0 EX1 U0 13.28 A1 R3 O6 SE1 M1
ED3 S0 G0 EX1 U0 8.75 A1 R3 O6 SE0 M0
ED3 S0 G0 EX1 U1 11.35 A2 R3 O6 SE0 M1
ED3 S0 G0 EX2 U1 11.5 A2 R3 O6 SE1 M0
ED2 S1 G0 EX2 U0 6.5 A2 R3 O6 SE0 M1
ED2 S1 G0 EX2 U1 6.25 A2 R3 O6 SE0 M0
ED2 S1 G0 EX2 U0 19.98 A2 R3 O6 SE0 M1
ED3 S0 G0 EX3 U0 7.3 A3 R3 O6 SE2 M1
ED2 S1 G0 EX3 U0 8 A3 R3 O6 SE0 M1
ED3 S0 G0 EX2 U1 22.2 A2 R3 O6 SE1 M1
ED3 S0 G0 EX1 U0 3.65 A1 R3 O6 SE0 M0
ED3 S0 G0 EX2 U0 20.55 A3 R3 O6 SE0 M1
ED3 S0 G1 EX1 U1 5.71 A2 R3 O6 SE1 M1
ED2 S0 G0 EX3 U1 7 A3 R1 O6 SE1 M1
ED3 S0 G0 EX1 U0 3.75 A1 R3 O6 SE0 M0
ED3 S1 G0 EX1 U0 4.5 A1 R1 O6 SE0 M1
ED3 S0 G0 EX2 U0 9.56 A2 R3 O6 SE0 M1
ED1 S1 G0 EX3 U0 5.75 A3 R3 O6 SE1 M1
ED3 S0 G0 EX1 U0 9.36 A1 R3 O6 SE1 M1
ED2 S0 G0 EX2 U0 6.5 A2 R3 O6 SE0 M1
ED3 S0 G1 EX1 U0 3.35 A1 R3 O6 SE1 M1
ED3 S0 G0 EX1 U0 4.75 A1 R3 O6 SE0 M1
ED3 S0 G0 EX1 U0 8.9 A1 R3 O6 SE0 M0
ED3 S1 G1 EX3 U0 4 A3 R3 O6 SE0 M0
ED2 S0 G0 EX2 U0 4.7 A1 R3 O6 SE0 M1
ED4 S1 G1 EX1 U0 5 A1 R3 O6 SE0 M0
ED3 S0 G0 EX2 U0 9.25 A2 R3 O6 SE1 M0
ED3 S0 G0 EX2 U0 10.67 A3 R1 O6 SE0 M0
ED3 S1 G0 EX2 U0 7.61 A2 R1 O6 SE2 M1
ED3 S0 G0 EX2 U1 10 A3 R1 O6 SE2 M1
ED3 S0 G0 EX1 U0 7.5 A1 R3 O6 SE0 M0
ED3 S1 G0 EX1 U0 12.2 A1 R3 O6 SE1 M1
ED3 S0 G0 EX1 U0 3.35 A1 R3 O6 SE0 M0
ED3 S1 G0 EX1 U1 11 A2 R3 O6 SE1 M1
ED3 S0 G0 EX1 U0 12 A1 R3 O6 SE1 M1
ED2 S0 G1 EX1 U0 4.85 A1 R3 O6 SE1 M1
ED3 S1 G0 EX1 U0 4.3 A1 R3 O6 SE2 M0
ED2 S1 G1 EX1 U0 6 A1 R3 O6 SE1 M1
ED4 S0 G0 EX1 U0 15 A2 R3 O6 SE1 M1
ED2 S1 G0 EX1 U0 4.85 A1 R3 O6 SE0 M0
ED2 S0 G0 EX2 U1 9 A2 R3 O6 SE0 M1
ED3 S0 G0 EX1 U0 6.36 A1 R3 O6 SE1 M1
ED3 S0 G0 EX1 U0 9.15 A1 R3 O6 SE0 M1
ED4 S0 G0 EX1 U1 11 A2 R3 O6 SE1 M1
ED3 S0 G1 EX1 U0 4.5 A1 R3 O6 SE1 M1
ED3 S0 G1 EX1 U0 4.8 A2 R3 O6 SE1 M1
ED3 S0 G0 EX1 U0 4 A1 R3 O6 SE0 M0
ED3 S0 G1 EX1 U0 5.5 A1 R3 O6 SE1 M0
ED3 S0 G0 EX1 U0 8.4 A2 R3 O6 SE1 M0
ED2 S0 G0 EX1 U0 6.75 A1 R3 O6 SE1 M1
ED3 S0 G0 EX2 U1 10 A2 R1 O6 SE1 M0
ED3 S0 G1 EX2 U0 5 A2 R3 O6 SE1 M1
ED3 S0 G0 EX1 U0 6.5 A2 R3 O6 SE0 M0
ED3 S0 G0 EX2 U1 10.75 A2 R3 O6 SE2 M1
ED1 S1 G0 EX3 U0 7 A3 R2 O6 SE1 M1
ED3 S1 G0 EX1 U0 11.43 A1 R3 O6 SE2 M0
ED3 S0 G0 EX1 U1 4 A1 R1 O6 SE1 M0
ED2 S0 G0 EX2 U0 9 A2 R3 O6 SE2 M1
ED3 S1 G0 EX2 U1 13 A2 R1 O6 SE1 M1
ED3 S0 G0 EX2 U1 12.22 A2 R3 O6 SE2 M1
ED3 S0 G1 EX3 U0 6.28 A3 R3 O6 SE1 M1
ED2 S1 G0 EX3 U1 6.75 A3 R1 O6 SE1 M1
ED3 S1 G0 EX1 U0 3.35 A1 R1 O6 SE1 M0
ED3 S0 G0 EX2 U1 16 A2 R3 O6 SE0 M1
ED2 S0 G0 EX1 U0 5.25 A1 R3 O6 SE0 M1
ED2 S1 G0 EX1 U0 3.5 A1 R2 O6 SE1 M1
ED2 S1 G1 EX3 U0 4.22 A3 R3 O6 SE1 M1
ED1 S0 G1 EX3 U1 3 A3 R2 O6 SE1 M1
ED3 S1 G1 EX2 U1 4 A2 R3 O6 SE1 M1
ED3 S0 G0 EX1 U1 10 A1 R3 O6 SE0 M1
ED3 S0 G0 EX1 U0 5 A1 R1 O6 SE0 M1
ED3 S1 G0 EX2 U1 16 A3 R3 O6 SE1 M1
ED3 S0 G0 EX1 U0 13.98 A2 R3 O6 SE0 M0
ED3 S0 G0 EX1 U1 13.26 A2 R3 O6 SE0 M1
ED2 S0 G1 EX3 U1 6.1 A3 R3 O6 SE1 M0
ED4 S1 G1 EX1 U0 3.75 A2 R3 O6 SE0 M0
ED3 S0 G0 EX1 U1 9 A1 R1 O6 SE1 M0
ED3 S0 G0 EX1 U0 9.45 A1 R3 O6 SE1 M0
ED3 S0 G0 EX1 U1 5.5 A2 R3 O6 SE0 M1
ED3 S0 G1 EX1 U0 8.93 A2 R3 O6 SE0 M1
ED3 S1 G1 EX1 U0 6.25 A1 R3 O6 SE0 M0
ED3 S1 G0 EX3 U1 9.75 A3 R3 O6 SE1 M1
ED3 S1 G0 EX1 U0 6.73 A1 R3 O6 SE1 M1
ED3 S0 G0 EX2 U0 7.78 A2 R3 O6 SE1 M1
ED3 S0 G0 EX1 U0 2.85 A1 R3 O6 SE0 M0
ED3 S1 G1 EX1 U0 3.35 A1 R1 O6 SE1 M1
ED3 S0 G0 EX2 U0 19.98 A2 R3 O6 SE1 M1
ED3 S0 G0 EX1 U1 8.5 A1 R1 O6 SE0 M1
ED4 S0 G1 EX1 U0 9.75 A1 R3 O6 SE1 M1
ED3 S0 G0 EX2 U1 15 A3 R3 O6 SE2 M1
ED3 S0 G1 EX2 U0 8 A2 R3 O6 SE1 M1
ED3 S0 G0 EX1 U0 11.25 A1 R3 O6 SE0 M1
ED3 S0 G0 EX1 U1 14 A1 R3 O6 SE0 M1
ED2 S0 G0 EX1 U0 10 A1 R3 O6 SE2 M1
ED3 S0 G0 EX1 U0 6.5 A1 R3 O6 SE0 M0
ED3 S0 G0 EX2 U0 9.83 A2 R3 O6 SE1 M1
ED3 S0 G1 EX1 U0 18.5 A1 R3 O6 SE1 M0
ED3 S1 G0 EX1 U0 12.5 A1 R3 O6 SE0 M1
ED3 S0 G0 EX2 U1 26 A2 R3 O6 SE0 M1
ED1 S1 G0 EX3 U0 14 A3 R3 O6 SE2 M1
ED3 S0 G0 EX1 U1 10.5 A1 R3 O6 SE0 M1
ED2 S0 G0 EX3 U0 11 A3 R3 O6 SE1 M1
ED3 S0 G0 EX1 U1 12.47 A1 R3 O6 SE0 M1
ED3 S0 G0 EX1 U0 12.5 A1 R3 O6 SE2 M0
ED3 S0 G0 EX3 U1 15 A3 R3 O6 SE2 M1
ED3 S0 G0 EX1 U0 6 A1 R3 O6 SE2 M0
ED3 S1 G0 EX2 U0 9.5 A2 R3 O6 SE2 M1
ED4 S0 G0 EX1 U1 5 A1 R3 O6 SE0 M0
ED3 S0 G0 EX1 U0 3.75 A1 R3 O6 SE2 M0
ED3 S0 G0 EX1 U1 12.57 A1 R3 O6 SE0 M1
ED2 S0 G1 EX2 U0 6.88 A2 R2 O6 SE0 M1
ED3 S0 G0 EX1 U0 5.5 A1 R3 O6 SE0 M1
ED3 S0 G0 EX1 U1 7 A1 R3 O6 SE0 M1
ED3 S0 G1 EX1 U0 4.5 A1 R3 O6 SE1 M0
ED3 S0 G0 EX2 U0 6.5 A2 R3 O6 SE0 M1
ED3 S1 G0 EX2 U1 12 A2 R3 O6 SE1 M1
ED3 S1 G0 EX1 U0 5 A1 R3 O6 SE2 M0
ED3 S1 G0 EX1 U0 6.5 A1 R3 O6 SE1 M0
ED2 S1 G1 EX2 U0 6.8 A2 R3 O6 SE1 M1
ED3 S0 G0 EX1 U0 8.75 A2 R3 O6 SE0 M1
ED3 S1 G1 EX1 U0 3.75 A1 R1 O6 SE1 M1
ED3 S1 G0 EX1 U0 4.5 A2 R2 O6 SE0 M0
ED3 S1 G0 EX1 U1 6 A1 R2 O6 SE0 M0
ED3 S0 G0 EX1 U0 5.5 A1 R3 O6 SE1 M0
ED3 S0 G0 EX1 U0 13 A1 R3 O6 SE0 M1
ED3 S0 G0 EX1 U0 5.65 A1 R3 O6 SE1 M0
ED2 S0 G0 EX1 U0 4.8 A1 R1 O6 SE1 M0
ED2 S1 G0 EX1 U0 7 A1 R3 O6 SE2 M1
ED3 S0 G0 EX1 U0 5.25 A1 R3 O6 SE0 M0
ED2 S1 G0 EX3 U0 3.35 A3 R3 O6 SE1 M1
ED2 S0 G0 EX3 U0 8.5 A3 R3 O6 SE1 M1
ED3 S0 G0 EX1 U0 6 A1 R3 O6 SE0 M1
ED3 S1 G0 EX1 U0 6.75 A1 R3 O6 SE0 M1
ED3 S0 G0 EX1 U0 8.89 A2 R3 O6 SE1 M1
ED3 S0 G0 EX1 U1 14.21 A1 R3 O6 SE1 M0
ED3 S1 G0 EX2 U1 10.78 A2 R1 O6 SE2 M1
ED2 S1 G0 EX2 U1 8.9 A2 R3 O6 SE2 M1
ED3 S1 G0 EX3 U0 7.5 A3 R3 O6 SE0 M1
ED3 S0 G1 EX1 U0 4.5 A1 R3 O6 SE1 M0
ED3 S0 G0 EX3 U1 11.25 A3 R3 O6 SE0 M1
ED3 S1 G0 EX1 U1 13.45 A2 R3 O6 SE0 M1
ED3 S1 G0 EX1 U0 6 A1 R3 O6 SE1 M1
ED1 S1 G1 EX2 U0 4.62 A2 R1 O6 SE1 M0
ED3 S0 G0 EX2 U0 10.58 A2 R3 O6 SE1 M1
ED3 S1 G0 EX1 U0 5 A1 R3 O6 SE0 M1
ED3 S1 G0 EX1 U0 8.2 A2 R1 O6 SE0 M0
ED3 S1 G0 EX1 U0 6.25 A1 R3 O6 SE0 M0
ED3 S0 G0 EX1 U0 8.5 A1 R3 O6 SE1 M1
ED4 S0 G0 EX1 U0 24.98 A2 R3 O1 SE0 M1
ED3 S1 G0 EX2 U0 16.65 A2 R3 O1 SE0 M1
ED3 S0 G0 EX1 U0 6.25 A1 R3 O1 SE0 M0
ED3 S1 G1 EX1 U0 4.55 A1 R2 O1 SE0 M0
ED3 S1 G1 EX2 U0 11.25 A2 R2 O1 SE0 M1
ED3 S0 G0 EX2 U0 21.25 A3 R3 O1 SE0 M0
ED4 S0 G1 EX1 U0 12.65 A2 R3 O1 SE0 M1
ED3 S0 G0 EX1 U0 7.5 A2 R3 O1 SE0 M0
ED3 S0 G1 EX2 U0 10.25 A2 R3 O1 SE0 M1
ED4 S0 G0 EX1 U0 3.35 A1 R3 O1 SE0 M0
ED4 S0 G0 EX1 U0 13.45 A1 R1 O1 SE0 M0
ED4 S0 G0 EX1 U1 4.84 A1 R3 O1 SE0 M1
ED4 S1 G0 EX2 U0 26.29 A3 R3 O1 SE0 M1
ED3 S0 G1 EX2 U0 6.58 A2 R3 O1 SE0 M1
ED3 S0 G1 EX1 U0 44.5 A1 R3 O1 SE0 M0
ED3 S0 G0 EX3 U0 15 A3 R3 O1 SE1 M1
ED4 S0 G1 EX1 U0 11.25 A1 R1 O1 SE1 M0
ED3 S0 G1 EX2 U0 7 A3 R3 O1 SE0 M1
ED3 S0 G0 EX2 U0 10 A2 R1 O1 SE0 M0
ED4 S0 G0 EX1 U0 14.53 A2 R3 O1 SE0 M1
ED4 S0 G1 EX2 U0 20 A2 R3 O1 SE0 M1
ED4 S0 G0 EX1 U0 22.5 A1 R3 O1 SE0 M1
ED3 S0 G1 EX3 U0 3.64 A3 R3 O1 SE0 M1
ED3 S1 G0 EX2 U0 10.62 A3 R3 O1 SE0 M1
ED4 S0 G0 EX2 U0 24.98 A3 R3 O1 SE0 M1
ED4 S1 G0 EX1 U0 6 A1 R3 O1 SE0 M0
ED4 S0 G0 EX1 U0 19 A2 R3 O1 SE1 M0
ED4 S0 G0 EX1 U0 13.2 A1 R3 O1 SE0 M0
ED4 S0 G0 EX2 U0 22.5 A2 R3 O1 SE0 M1
ED4 S1 G0 EX1 U0 15 A1 R3 O1 SE0 M1
ED4 S0 G1 EX1 U0 6.88 A2 R3 O1 SE0 M1
ED3 S0 G0 EX2 U0 11.84 A2 R3 O1 SE0 M1
ED3 S0 G0 EX1 U0 16.14 A2 R3 O1 SE0 M0
ED4 S0 G1 EX1 U0 13.95 A2 R3 O1 SE0 M1
ED3 S0 G1 EX3 U0 13.16 A3 R3 O1 SE0 M1
ED3 S1 G0 EX1 U0 5.3 A1 R1 O1 SE0 M1
